Date,Price,Open,High,Low,Vol.,Change %
07/27/2015,"2,083.00","2,075.00","2,083.00","2,075.00",,0.39%
07/24/2015,"2,075.00","2,075.00","2,077.00","2,075.00",,0.00%
07/23/2015,"2,075.00","2,085.00","2,085.00","2,065.00",,-1.89%
07/22/2015,"2,115.00","2,135.00","2,135.00","2,113.00",,-0.94%
07/21/2015,"2,135.00","2,145.00","2,145.00","2,133.00",,-0.47%
07/20/2015,"2,145.00","2,165.00","2,165.00","2,145.00",,-0.69%
07/17/2015,"2,160.00","2,155.00","2,170.00","2,155.00",,0.23%
07/16/2015,"2,155.00","2,145.00","2,165.00","2,145.00",,0.47%
07/15/2015,"2,145.00","2,032.00","2,157.00","2,030.00",,5.67%
07/14/2015,"2,030.00","2,030.00","2,030.10","2,020.00",,-0.25%
07/13/2015,"2,035.00","2,170.00","2,170.00","2,015.00",,-6.44%
07/10/2015,"2,175.00","2,233.00","2,235.00","2,175.00",,-2.75%
07/09/2015,"2,236.50","2,243.94","2,243.94","2,236.50",,-0.38%
07/08/2015,"2,245.00","2,250.00","2,250.00","2,240.00",,4.18%
07/07/2015,"2,155.00","2,155.00","2,155.00","2,155.00",,-3.15%
07/06/2015,"2,225.00","2,025.00","2,230.00","2,025.00",,9.88%
07/03/2015,"2,025.00","2,015.00","2,030.00","2,013.00",,0.60%
07/02/2015,"2,013.00","1,995.00","2,015.00","1,993.00",,0.90%
07/01/2015,"1,995.00","1,995.00","1,995.00","1,995.00",,0.00%
06/30/2015,"1,995.00","1,975.00","1,995.00","1,973.00",,1.01%
06/29/2015,"1,975.00","2,163.00","2,165.00","1,965.00",,-8.78%
06/26/2015,"2,165.00","2,285.00","2,285.00","2,162.00",,-5.29%
06/25/2015,"2,286.00","2,335.00","2,335.00","2,285.00",,-2.00%
06/24/2015,"2,332.61","2,329.85","2,335.85","2,304.85",,0.11%
06/23/2015,"2,330.00","2,285.00","2,331.00","2,285.00",,1.97%
06/22/2015,"2,285.00","2,285.00","2,287.00","2,285.00",,0.00%
06/19/2015,"2,285.00","2,275.00","2,290.00","2,275.00",,0.66%
06/18/2015,"2,270.00","2,247.00","2,277.00","2,245.00",,1.02%
06/17/2015,"2,247.00","2,225.00","2,247.00","2,225.00",,0.99%
06/16/2015,"2,225.00","2,210.00","2,230.00","2,210.00",,0.68%
06/15/2015,"2,210.00","2,203.00","2,210.00","2,203.00",,0.23%
06/12/2015,"2,205.00","2,192.00","2,205.00","2,192.00",,0.55%
06/11/2015,"2,193.00","2,185.00","2,196.00","2,185.00",,0.37%
06/10/2015,"2,185.00","2,177.00","2,187.00","2,175.00",,0.37%
06/09/2015,"2,177.00","2,175.00","2,180.00","2,174.00",,0.14%
06/08/2015,"2,174.00","2,170.00","2,175.00","2,168.00",,0.18%
06/05/2015,"2,170.00","2,155.00","2,170.00","2,154.00",,0.70%
06/04/2015,"2,155.00","2,140.00","2,155.00","2,140.00",,0.23%
06/03/2015,"2,150.00","2,135.00","2,150.00","2,115.00",,0.47%
06/02/2015,"2,140.00","2,105.00","2,150.00","2,105.00",,1.66%
06/01/2015,"2,105.00","2,085.00","2,120.00","2,085.00",,0.96%
05/29/2015,"2,085.00","2,085.00","2,100.00","2,085.00",,-0.48%
05/28/2015,"2,095.00","2,085.00","2,095.00","2,075.00",,0.48%
05/27/2015,"2,085.00","2,063.00","2,085.00","2,063.00",,1.07%
05/26/2015,"2,063.00","2,065.00","2,070.00","2,053.00",,0.39%
05/25/2015,"2,055.00","2,050.00","2,069.00","2,045.00",,0.15%
05/22/2015,"2,052.00","2,045.00","2,060.00","2,040.00",,0.34%
05/21/2015,"2,045.00","2,032.00","2,045.00","2,025.00",,0.49%
05/20/2015,"2,035.00","2,030.00","2,038.00","2,025.00",,0.25%
05/19/2015,"2,030.00","2,025.00","2,033.00","2,020.00",,0.25%
05/18/2015,"2,025.00","2,020.00","2,026.00","2,010.00",,0.55%
05/15/2015,"2,014.00","2,010.00","2,018.00","2,008.00",,0.07%
05/14/2015,"2,012.50","2,010.50","2,012.50","2,002.50",,-0.02%
05/13/2015,"2,013.00","2,000.00","2,015.00","2,000.00",,0.30%
