Date,Currency,Buying,Selling,Mean
2009-01-05,USD,1267.497,1293.103,1280.3
2009-01-06,USD,1267.497,1293.103,1280.3
2009-01-07,USD,1267.497,1293.103,1280.3
2009-01-08,USD,1267.497,1293.103,1280.3
2009-01-09,USD,1272.15,1297.85,1285.0
2009-01-13,USD,1274.625,1300.375,1287.5
2009-01-14,USD,1274.625,1300.375,1287.5
2009-01-15,USD,1286.01,1311.99,1299.0
2009-01-16,USD,1298.8701,1325.1099,1311.99
2009-01-19,USD,1285.5444,1311.78,1298.6622
2009-01-20,USD,1285.2798,1311.51,1298.3949
2009-01-21,USD,1285.2798,1311.51,1298.3949
2009-01-22,USD,1285.2798,1311.51,1298.3949
2009-01-23,USD,1285.2798,1311.51,1298.3949
2009-01-26,USD,1307.7316,1334.42,1321.0758
2009-01-27,USD,1307.7316,1334.42,1321.0758
2009-01-28,USD,1298.1472,1324.64,1311.3936
2009-01-29,USD,1283.8,1310.0,1296.9
2009-01-30,USD,1274.0,1300.0,1287.0
2009-02-02,USD,1274.0,1300.0,1287.0
2009-02-03,USD,1280.321,1306.45,1293.3855
2009-02-04,USD,1281.987,1308.15,1295.0685
2009-02-05,USD,1282.0752,1308.24,1295.1576
2009-02-06,USD,1286.691,1312.95,1299.8205
2009-02-09,USD,1289.9152,1316.24,1303.0776
2009-02-10,USD,1291.0324,1317.38,1304.2062
2009-02-11,USD,1290.4346,1316.77,1303.6023
2009-02-12,USD,1290.6502,1316.99,1303.8201
2009-02-13,USD,1293.2864,1319.68,1306.4832
2009-02-16,USD,1293.5608,1319.96,1306.7604
2009-02-17,USD,1295.4326,1321.87,1308.6513
2009-02-18,USD,1299.9014,1326.43,1313.1657
2009-02-19,USD,1302.6748,1329.26,1315.9674
2009-02-20,USD,1305.899,1332.55,1319.2245
2009-02-23,USD,1299.9798,1326.51,1313.2449
2009-02-24,USD,1295.3836,1321.82,1308.6018
2009-02-25,USD,1293.9332,1320.34,1307.1366
2009-02-26,USD,1290.9834,1317.33,1304.1567
2009-02-27,USD,1289.3076,1315.62,1302.4638
2009-03-02,USD,1288.7,1315.0,1301.85
2009-03-03,USD,1288.6216,1314.92,1301.7708
2009-03-04,USD,1287.72,1314.0,1300.86
2009-03-05,USD,1287.72,1314.0,1300.86
2009-03-06,USD,1282.82,1309.0,1295.91
2009-03-09,USD,1275.96,1302.0,1288.98
2009-03-11,USD,1271.06,1297.0,1284.03
2009-03-12,USD,1269.1,1295.0,1282.05
2009-03-13,USD,1268.12,1294.0,1281.06
2009-03-16,USD,1268.12,1294.0,1281.06
2009-03-17,USD,1269.1,1295.0,1282.05
2009-03-18,USD,1271.06,1297.0,1284.03
2009-03-19,USD,1273.02,1299.0,1286.01
2009-03-20,USD,1273.02,1299.0,1286.01
2009-03-23,USD,1274.0,1300.0,1287.0
2009-03-24,USD,1283.8,1310.0,1296.9
2009-03-25,USD,1291.64,1318.0,1304.82
2009-03-26,USD,1291.64,1318.0,1304.82
2009-03-27,USD,1292.62,1319.0,1305.81
2009-03-30,USD,1298.5,1325.0,1311.75
2009-03-31,USD,1300.46,1327.0,1313.73
2009-04-01,USD,1295.56,1322.0,1308.78
2009-04-02,USD,1298.5,1325.0,1311.75
2009-04-03,USD,1306.34,1333.0,1319.67
2009-04-06,USD,1302.42,1329.0,1315.71
2009-04-08,USD,1302.322,1328.9,1315.611
2009-04-09,USD,1300.46,1327.0,1313.73
2009-04-14,USD,1301.7242,1328.29,1315.0071
2009-04-15,USD,1304.38,1331.0,1317.69
2009-04-16,USD,1303.4,1330.0,1316.7
2009-04-17,USD,1306.34,1333.0,1319.67
2009-04-20,USD,1307.32,1334.0,1320.66
2009-04-21,USD,1309.28,1336.0,1322.64
2009-04-22,USD,1312.22,1339.0,1325.61
2009-04-23,USD,1313.2,1340.0,1326.6
2009-04-24,USD,1314.18,1341.0,1327.59
2009-04-27,USD,1315.0522,1341.89,1328.4711
2009-04-28,USD,1314.9346,1341.77,1328.3523
2009-04-29,USD,1309.0546,1335.77,1322.4123
2009-04-30,USD,1307.0456,1333.72,1320.3828
2009-05-04,USD,1307.2318,1333.91,1320.5709
2009-05-05,USD,1308.2706,1334.97,1321.6203
2009-05-06,USD,1306.585,1333.25,1319.9175
2009-05-07,USD,1301.097,1327.65,1314.3735
