Date,Currency,Buying,Selling,Mean
2009-01-05,FRF,170.6216,173.8696,172.2456
2009-01-05,JPY,13.7771,14.0494,13.9133
2009-01-05,DKK,236.3939,240.8821,238.638
2009-01-05,KES,18.368,18.703,18.5355
2009-01-05,ZAR,135.8518,137.6374,136.7446
2009-01-05,AED,345.0944,352.018,348.5562
2009-01-05,FIM,188.2347,191.8209,190.0278
2009-01-05,BEF,27.7442,28.2726,28.0084
2009-01-05,BIF,1.2258,1.31,1.2679
2009-01-05,SAR,337.819,344.46,341.1395
2009-01-05,UGX,0.7763,0.7871,0.7817
2009-01-05,NLG,507.8723,517.5517,512.712
2009-01-05,AUD,901.9509,920.6893,911.3201
2009-01-05,MWK,14.4034,14.5292,14.4663
2009-01-05,ITL,0.578,0.589,0.5835
2009-01-05,PKR,22.0434,22.3914,22.2174
2009-01-05,GOLD,1101898.517,1126745.2991,1114321.908
2009-01-05,GBP,1835.0822,1872.6718,1853.877
2009-01-05,ESP,6.7266,6.8545,6.7906
2009-01-05,CHF,1173.1738,1196.21,1184.6919
2009-01-05,KWD,4583.2472,4667.3994,4625.3233
2009-01-05,CAD,1045.3583,1066.0371,1055.6977
2009-01-05,SDR,1993.6587,2033.9347,2013.7967
2009-01-05,ATS,81.3353,82.8849,82.1101
2009-01-05,DEM,572.2334,583.1355,577.6845
2009-01-05,USD,1267.497,1293.103,1280.3
2009-01-05,EUR,1759.2858,1795.6028,1777.4443
2009-01-05,NOK,183.8284,187.4606,185.6445
2009-01-05,INR,26.2422,26.7612,26.5017
2009-01-05,SEK,163.9499,167.2188,165.5844
2009-01-06,CAD,1064.408,1085.4554,1074.9317
2009-01-06,UGX,0.7763,0.7871,0.7817
2009-01-06,KWD,4532.6026,4615.917,4574.2598
2009-01-06,JPY,13.6407,13.9088,13.7748
2009-01-06,DKK,231.3668,235.916,233.6414
2009-01-06,GBP,1856.7563,1894.9131,1875.8347
2009-01-06,AUD,903.9789,922.8876,913.4332
2009-01-06,KES,18.368,18.703,18.5355
2009-01-06,EUR,1722.9087,1758.2321,1740.5704
2009-01-06,DEM,572.2334,583.1355,577.6845
2009-01-06,ZAR,136.8049,138.0783,137.4416
2009-01-06,BIF,1.2258,1.31,1.2679
2009-01-06,USD,1267.497,1293.103,1280.3
2009-01-06,SDR,1993.6587,2033.9347,2013.7967
2009-01-06,GOLD,1083773.3099,1108253.9262,1096013.618
2009-01-06,SAR,337.81,344.4508,341.1304
2009-01-06,ITL,0.578,0.589,0.5835
2009-01-06,NLG,507.8723,517.5517,512.712
2009-01-06,NOK,182.2688,185.8174,184.0431
2009-01-06,MWK,14.4034,14.5292,14.4663
2009-01-06,ESP,6.7266,6.8545,6.7906
2009-01-06,ATS,81.3353,82.8849,82.1101
2009-01-06,FRF,170.6216,173.8696,172.2456
2009-01-06,CHF,1142.4038,1164.9576,1153.6807
2009-01-06,INR,26.048,26.5606,26.3043
2009-01-06,SEK,160.9581,164.0577,162.5079
2009-01-06,FIM,188.2347,191.8209,190.0278
2009-01-06,PKR,22.0434,22.3914,22.2174
2009-01-06,BEF,27.7442,28.2726,28.0084
2009-01-06,AED,345.1038,352.0276,348.5657
2009-01-07,SDR,1993.6587,2033.9347,2013.7967
2009-01-07,FRF,170.6216,173.8696,172.2456
2009-01-07,BIF,1.2258,1.31,1.2679
2009-01-07,SAR,337.9542,344.6896,341.3219
2009-01-07,DEM,572.2334,583.1355,577.6845
